frame_index,timestamp_sec,tx_relative,ty_relative,tz_relative,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg,vx_relative_per_source_s,vy_relative_per_source_s,vz_relative_per_source_s,angular_rate_proxy_deg_per_source_s,pose_valid,confidence,source_layer,coordinate_frame,pose_semantics,scale_status
0,8.067,-9.357041562907398e-06,-2.0410394085956796e-07,-4.631387895415173e-08,0.0007656604832934811,0.9999997068819602,9.101830823364182e-08,9.909175776716297e-08,179.9122617629611,-1.1347089895681505e-05,1.043862091849869e-05,-0.025940822767248937,0.027099504166206555,-0.08056358291985533,16.415197130976523,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
1,8.217,-0.003900480456650257,0.004064721520990133,-0.01208458375185728,-0.01163066360728225,0.999777573529277,-0.017237803895466322,-0.003519836477310885,-178.67431836804863,0.4262318956800984,-1.9706193213885337,-0.018558761512395012,0.022002349886877604,-0.06428095451117402,10.408492562073661,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
2,8.417,-0.0065049235709011555,0.007700618356466293,-0.02249838039278984,-0.013884628624366282,0.9995003002442816,-0.023567923359105368,-0.015840451006637044,-178.45151653496177,1.8520954704996206,-2.6765034808639383,-0.011115994836602904,0.013768466721688011,-0.052215161600283264,7.466900289035313,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
3,8.567,-0.007791078649461269,0.008883684873580933,-0.030359890311956406,-0.01665106817303307,0.9993086852006179,-0.021465904853685557,-0.02537929353078993,-178.15291076678997,2.9485020020885786,-2.413593490670783,-0.011943159624934209,0.011275333485433045,-0.048835862960134285,10.27048766671071,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
4,8.767,-0.010685029439628124,0.011646985076367855,-0.03959093242883682,-0.021559919610977356,0.9990041201140435,-0.004126157301811502,-0.03884472534920023,-177.54204252369783,4.461546140889151,-0.37752946113991265,-0.011639259755611432,0.0114838087132999,-0.049458454762186375,11.580049483651218,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
5,8.917,-0.011864819563925266,0.012903017923235893,-0.04767034947872162,-0.038151683687309375,0.9981990276046333,-0.004181906804111333,-0.0461049018702985,-175.63524678956398,5.29955362285469,-0.27797326117340576,-0.01244670312319478,0.015843960323503974,-0.06702297500201607,10.824006482387922,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
6,9.117,-0.015041375532746315,0.01719237118959427,-0.06304897367954254,-0.04173385471974092,0.99737529676957,-0.02851217302153438,-0.05184456339515083,-175.3685878904533,6.073076664570307,-3.0291433242414065,-0.017144650753055317,0.020056931035859264,-0.06915124399321426,9.234465249758507,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
7,9.267,-0.01786544732749462,0.01992294378578663,-0.07187328487634659,-0.031459117699567885,0.9977045799551719,-0.030179586453472244,-0.05181783101921716,-176.56136018016718,6.044256427676298,-3.2836282488987822,-0.01709666724006341,0.018218805392583276,-0.06184846162796043,8.468299255623695,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
8,9.417,-0.02017037570476532,0.022658012807369232,-0.0816035121679306,-0.030633862878380425,0.997154842477286,-0.04640630748983539,-0.05089441221201401,-176.75078246015923,5.989282362728004,-5.1590740723893145,-0.014511618231024002,0.016522577830723285,-0.05732698099953765,8.52221392277246,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
9,9.617,-0.022944513708353043,0.025705846026539803,-0.09193772822618484,-0.046010653049047466,0.9962877590837518,-0.053038018248489575,-0.0498065209199485,-175.0165140627557,5.9766920088868885,-5.834281393812011,-0.016290423061166508,0.013296247592994158,-0.04745398248944969,6.977477464329787,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
