frame_index,timestamp_sec,x_rel,y_rel,z_rel,qw,qx,qy,qz,confidence,layer,orientation_source,scale_status
0,8.067000000,-9.35704156e-06,-2.04103941e-07,-4.6313879e-08,0.999999911,-0.000382830276,0.000118875536,0.00012941996,1,raw,raw_camera_orientation,relative_only
1,8.217000000,-0.00390048046,0.00406472152,-0.0120845838,0.99977122,0.0120159124,-0.00340608098,0.0173644634,1,raw,raw_camera_orientation,relative_only
2,8.417000000,-0.00650492357,0.00770061836,-0.0224983804,0.999493729,0.0142721181,-0.015728859,0.0236895618,1,raw,raw_camera_orientation,relative_only
3,8.567000000,-0.00779107865,0.00888368487,-0.0303598903,0.999302461,0.0170394687,-0.0252665607,0.0215835381,1,raw,raw_camera_orientation,relative_only
4,8.767000000,-0.0106850294,0.0116469851,-0.0395909324,0.998999861,0.0219478845,-0.0387247541,0.00423801412,1,raw,raw_camera_orientation,relative_only
5,8.917000000,-0.0118648196,0.0129030179,-0.0476703495,0.998189273,0.0385402851,-0.0459828997,0.00428890766,1,raw,raw_camera_orientation,relative_only
6,9.117000000,-0.0150413755,0.0171923712,-0.0630489737,0.997361704,0.0421257756,-0.0517315094,0.028616442,1,raw,raw_camera_orientation,relative_only
7,9.267000000,-0.0178654473,0.0199229438,-0.0718732849,0.997694702,0.0318513603,-0.051706706,0.0302851295,1,raw,raw_camera_orientation,relative_only
8,9.417000000,-0.0201703757,0.0226580128,-0.0816035122,0.997143071,0.0310277046,-0.0507896715,0.0465122296,1,raw,raw_camera_orientation,relative_only
9,9.617000000,-0.0229445137,0.025705846,-0.0919377282,0.996269113,0.046404809,-0.0497024321,0.0531424161,1,raw,raw_camera_orientation,relative_only
10,9.767000000,-0.0258720238,0.0273116995,-0.098212406,0.996118798,0.052189715,-0.0495333127,0.050695412,1,raw,raw_camera_orientation,relative_only
11,9.967000000,-0.0287280884,0.0301465504,-0.111345984,0.995872549,0.0446073093,-0.0498573338,0.0613375896,1,raw,raw_camera_orientation,relative_only
12,10.117000000,-0.0316798985,0.0320899896,-0.12042658,0.996101059,0.0398975426,-0.0507926018,0.0600914143,1,raw,raw_camera_orientation,relative_only
13,10.267000000,-0.0343257673,0.0355281644,-0.129211247,0.99566581,0.0485307601,-0.0494131242,0.0620701436,1,raw,raw_camera_orientation,relative_only
14,10.467000000,-0.0383190289,0.038571652,-0.143360198,0.994892522,0.0507076721,-0.0472711975,0.0733691699,1,raw,raw_camera_orientation,relative_only
15,10.617000000,-0.0407287106,0.0412009396,-0.152222916,0.993352184,0.0660508958,-0.0458939051,0.0823557415,1,raw,raw_camera_orientation,relative_only
16,10.817000000,-0.0444265455,0.045366656,-0.165322796,0.992277964,0.0651741969,-0.0469039119,0.0945345934,1,raw,raw_camera_orientation,relative_only
17,10.967000000,-0.0462817997,0.0459555499,-0.172262996,0.991851154,0.0653155519,-0.0462758586,0.0991146354,1,raw,raw_camera_orientation,relative_only
18,11.167000000,-0.0495620631,0.0499152616,-0.180988491,0.992429946,0.0696362223,-0.0470461355,0.0895559013,1,raw,raw_camera_orientation,relative_only
19,11.317000000,-0.0524787121,0.0529584512,-0.190255687,0.990397443,0.0920008315,-0.0445638007,0.0930742722,1,raw,raw_camera_orientation,relative_only
20,11.467000000,-0.0545748547,0.054203812,-0.198588774,0.989776211,0.0954224222,-0.0441265438,0.0963870454,1,raw,raw_camera_orientation,relative_only
21,11.667000000,-0.0573654994,0.0579610988,-0.209428564,0.990154065,0.0880654746,-0.0449670938,0.0990825968,1,raw,raw_camera_orientation,relative_only
22,11.817000000,-0.0602540299,0.0608434193,-0.218044281,0.989920822,0.0898243718,-0.0442991392,0.100129589,1,raw,raw_camera_orientation,relative_only
23,12.017000000,-0.0626428798,0.0656728372,-0.228309184,0.989956055,0.0812746273,-0.0457284501,0.106256069,1,raw,raw_camera_orientation,relative_only
24,12.167000000,-0.0646904707,0.0676329657,-0.236945361,0.98979978,0.0794402223,-0.0460293047,0.108935533,1,raw,raw_camera_orientation,relative_only
25,12.317000000,-0.0666035265,0.0704375952,-0.244094074,0.990239289,0.0799845397,-0.0398509253,0.106960402,1,raw,raw_camera_orientation,relative_only
26,12.517000000,-0.0697485209,0.0738183409,-0.252358049,0.990289044,0.0732722457,-0.0291567211,0.114493112,1,raw,raw_camera_orientation,relative_only
27,12.667000000,-0.0714587346,0.0766077414,-0.260634214,0.990297522,0.0684335789,-0.0275444684,0.11776657,1,raw,raw_camera_orientation,relative_only
28,12.867000000,-0.0735483542,0.0809938461,-0.270937502,0.991768718,0.0459249599,-0.0262466049,0.116605417,1,raw,raw_camera_orientation,relative_only
29,13.017000000,-0.0762316212,0.0832059756,-0.279929698,0.992624718,0.0228851539,-0.0258783613,0.116201331,1,raw,raw_camera_orientation,relative_only
30,13.217000000,-0.0787945241,0.0880505964,-0.290456623,0.991523454,-0.00218586406,-0.0276070545,0.126942161,1,raw,raw_camera_orientation,relative_only
31,13.367000000,-0.0817922801,0.0902454555,-0.296241671,0.991201894,-0.0289603184,-0.0288957632,0.125877483,1,raw,raw_camera_orientation,relative_only
32,13.517000000,-0.0827940702,0.0917351097,-0.303267449,0.992796877,-0.0144108666,-0.0255491765,0.116163362,1,raw,raw_camera_orientation,relative_only
33,13.717000000,-0.0841551572,0.0950738266,-0.314881951,0.993496606,0.00306967307,-0.0215381061,0.111763948,1,raw,raw_camera_orientation,relative_only
34,13.867000000,-0.0862096623,0.0984463468,-0.325253218,0.993042425,0.00541404534,-0.018733718,0.116131298,1,raw,raw_camera_orientation,relative_only
35,14.067000000,-0.0886081904,0.101195149,-0.334488153,0.992221806,0.00122167953,-0.0157378476,0.123477591,1,raw,raw_camera_orientation,relative_only
36,14.217000000,-0.0892053023,0.103260837,-0.342570692,0.992185265,-0.00193241314,-0.0143469795,0.123930746,1,raw,raw_camera_orientation,relative_only
37,14.367000000,-0.0911119357,0.104889378,-0.349813461,0.992682772,-0.00504155931,-0.0139948656,0.119831718,1,raw,raw_camera_orientation,relative_only
38,14.567000000,-0.0934168845,0.107841805,-0.359826833,0.992588984,-0.00277111604,-0.012804034,0.12081178,1,raw,raw_camera_orientation,relative_only
39,14.717000000,-0.0944024995,0.109630026,-0.367845535,0.991931318,-0.00348537128,-0.0128484874,0.126075492,1,raw,raw_camera_orientation,relative_only
40,14.917000000,-0.0972707048,0.113581508,-0.380729973,0.991752566,-0.00162427587,-0.0125856816,0.127537482,1,raw,raw_camera_orientation,relative_only
41,15.067000000,-0.0973789766,0.114620805,-0.388664454,0.991595836,0.00350008902,-0.010579492,0.128893447,1,raw,raw_camera_orientation,relative_only
42,15.267000000,-0.099329181,0.11812824,-0.402510792,0.990254905,0.00863350284,0.00195216578,0.13898516,1,raw,raw_camera_orientation,relative_only
43,15.417000000,-0.0997650102,0.120586738,-0.410659105,0.989706871,0.00333433902,0.0119604442,0.142569772,1,raw,raw_camera_orientation,relative_only
44,15.567000000,-0.100704856,0.122966506,-0.421735615,0.988869413,0.00157697631,0.0207383177,0.147325215,1,raw,raw_camera_orientation,relative_only
45,15.767000000,-0.102607712,0.125680432,-0.433825225,0.988050955,0.00676258172,0.0378336326,0.149258817,1,raw,raw_camera_orientation,relative_only
46,15.917000000,-0.103413746,0.127820536,-0.444866329,0.987889626,0.0186394953,0.0488934957,0.146068755,1,raw,raw_camera_orientation,relative_only
47,16.117000000,-0.10522002,0.130331784,-0.455760151,0.986381537,0.0488321446,0.0626967161,0.144000025,1,raw,raw_camera_orientation,relative_only
48,16.267000000,-0.106220514,0.131031975,-0.465678185,0.986244954,0.0543011646,0.0676526985,0.140696079,1,raw,raw_camera_orientation,relative_only
49,16.417000000,-0.107084341,0.134585798,-0.476323843,0.986334875,0.0474781465,0.0700498948,0.141358952,1,raw,raw_camera_orientation,relative_only
50,16.617000000,-0.107245542,0.138625905,-0.490768909,0.986178119,0.0446057954,0.0718857296,0.142462214,1,raw,raw_camera_orientation,relative_only
51,16.767000000,-0.107281588,0.140065297,-0.496930331,0.98567804,0.058229555,0.0749178123,0.13941105,1,raw,raw_camera_orientation,relative_only
52,16.967000000,-0.108693145,0.143895343,-0.510801673,0.984372368,0.0676044857,0.0843125714,0.139039799,1,raw,raw_camera_orientation,relative_only
53,17.117000000,-0.1090464,0.14521654,-0.520325482,0.983911386,0.0675849227,0.085456167,0.141590632,1,raw,raw_camera_orientation,relative_only
54,17.317000000,-0.109676972,0.147759318,-0.529615164,0.984196008,0.0674508187,0.0855643684,0.139597074,1,raw,raw_camera_orientation,relative_only
55,17.467000000,-0.108822733,0.151102781,-0.542098939,0.984360099,0.0572804624,0.0840004837,0.143868213,1,raw,raw_camera_orientation,relative_only
56,17.617000000,-0.109418422,0.154777214,-0.55031532,0.983772691,0.0586908535,0.0857153805,0.146285846,1,raw,raw_camera_orientation,relative_only
57,17.817000000,-0.109050296,0.158121392,-0.561732292,0.982772368,0.0535072095,0.0848127386,0.155248995,1,raw,raw_camera_orientation,relative_only
58,17.967000000,-0.108631954,0.159639433,-0.568602443,0.983529806,0.056131588,0.0845343263,0.14957377,1,raw,raw_camera_orientation,relative_only
59,18.167000000,-0.10971687,0.163092673,-0.581784904,0.982701687,0.0609414696,0.079510391,0.155761451,1,raw,raw_camera_orientation,relative_only
60,18.317000000,-0.109134726,0.165364817,-0.587768376,0.983428459,0.0665890476,0.0796378842,0.148634358,1,raw,raw_camera_orientation,relative_only
61,18.467000000,-0.108920336,0.167239696,-0.600302696,0.983000288,0.0708875104,0.0777625687,0.150460549,1,raw,raw_camera_orientation,relative_only
62,18.667000000,-0.108856015,0.170248866,-0.608510196,0.982654176,0.0690113952,0.0760662886,0.154408927,1,raw,raw_camera_orientation,relative_only
63,18.817000000,-0.107622258,0.173784912,-0.619257689,0.983613563,0.0612549155,0.0710965606,0.153939838,1,raw,raw_camera_orientation,relative_only
64,19.017000000,-0.106872924,0.176424071,-0.628240407,0.984141577,0.0641251329,0.0667067318,0.151339139,1,raw,raw_camera_orientation,relative_only
65,19.167000000,-0.106704094,0.178972438,-0.63587755,0.984298086,0.0615350237,0.0632717969,0.152863985,1,raw,raw_camera_orientation,relative_only
